Method,rho2,param_y,MAE
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,10.0
e-Divisive,-0.9,1.5,7.0
KCPA,-0.9,1.5,35.0
Neural-ECF,-0.9,1.5,1.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,30.0
e-Divisive,-0.9,1.5,5.0
KCPA,-0.9,1.5,48.0
Neural-ECF,-0.9,1.5,9.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,50.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,1.0
Neural-ECF,-0.9,1.5,5.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,90.0
e-Divisive,-0.9,1.5,5.0
KCPA,-0.9,1.5,0.0
Neural-ECF,-0.9,1.5,0.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,30.0
e-Divisive,-0.9,1.5,1.0
KCPA,-0.9,1.5,1.0
Neural-ECF,-0.9,1.5,5.0
MIDAST[KS],-0.9,1.5,10.0
MIDAST[MMD],-0.9,1.5,80.0
e-Divisive,-0.9,1.5,2.0
KCPA,-0.9,1.5,1.0
Neural-ECF,-0.9,1.5,8.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,130.0
e-Divisive,-0.9,1.5,2.0
KCPA,-0.9,1.5,3.0
Neural-ECF,-0.9,1.5,11.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,130.0
e-Divisive,-0.9,1.5,1.0
KCPA,-0.9,1.5,6.0
Neural-ECF,-0.9,1.5,6.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,100.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,1.0
Neural-ECF,-0.9,1.5,10.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,20.0
e-Divisive,-0.9,1.5,6.0
KCPA,-0.9,1.5,7.0
Neural-ECF,-0.9,1.5,7.0
MIDAST[KS],-0.9,1.5,20.0
MIDAST[MMD],-0.9,1.5,210.0
e-Divisive,-0.9,1.5,2.0
KCPA,-0.9,1.5,0.0
Neural-ECF,-0.9,1.5,1.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,70.0
e-Divisive,-0.9,1.5,1.0
KCPA,-0.9,1.5,1.0
Neural-ECF,-0.9,1.5,7.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,0.0
e-Divisive,-0.9,1.5,4.0
KCPA,-0.9,1.5,33.0
Neural-ECF,-0.9,1.5,0.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,250.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,2.0
Neural-ECF,-0.9,1.5,4.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,100.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,17.0
Neural-ECF,-0.9,1.5,10.0
MIDAST[KS],-0.9,1.5,20.0
MIDAST[MMD],-0.9,1.5,110.0
e-Divisive,-0.9,1.5,2.0
KCPA,-0.9,1.5,2.0
Neural-ECF,-0.9,1.5,10.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,140.0
e-Divisive,-0.9,1.5,4.0
KCPA,-0.9,1.5,0.0
Neural-ECF,-0.9,1.5,0.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,70.0
e-Divisive,-0.9,1.5,3.0
KCPA,-0.9,1.5,2.0
Neural-ECF,-0.9,1.5,7.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,130.0
e-Divisive,-0.9,1.5,3.0
KCPA,-0.9,1.5,15.0
Neural-ECF,-0.9,1.5,12.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,50.0
e-Divisive,-0.9,1.5,1.0
KCPA,-0.9,1.5,3.0
Neural-ECF,-0.9,1.5,7.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,120.0
e-Divisive,-0.9,1.5,6.0
KCPA,-0.9,1.5,7.0
Neural-ECF,-0.9,1.5,10.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,130.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,1.0
Neural-ECF,-0.9,1.5,6.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,70.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,3.0
Neural-ECF,-0.9,1.5,20.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,40.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,12.0
Neural-ECF,-0.9,1.5,6.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,100.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,10.0
Neural-ECF,-0.9,1.5,7.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,20.0
e-Divisive,-0.9,1.5,3.0
KCPA,-0.9,1.5,7.0
Neural-ECF,-0.9,1.5,6.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,100.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,5.0
Neural-ECF,-0.9,1.5,5.0
MIDAST[KS],-0.9,1.5,20.0
MIDAST[MMD],-0.9,1.5,100.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,16.0
Neural-ECF,-0.9,1.5,11.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,30.0
e-Divisive,-0.9,1.5,1.0
KCPA,-0.9,1.5,1.0
Neural-ECF,-0.9,1.5,1.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,110.0
e-Divisive,-0.9,1.5,5.0
KCPA,-0.9,1.5,0.0
Neural-ECF,-0.9,1.5,0.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,80.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,32.0
Neural-ECF,-0.9,1.5,0.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,160.0
e-Divisive,-0.9,1.5,1.0
KCPA,-0.9,1.5,1.0
Neural-ECF,-0.9,1.5,10.0
MIDAST[KS],-0.9,1.5,10.0
MIDAST[MMD],-0.9,1.5,40.0
e-Divisive,-0.9,1.5,14.0
KCPA,-0.9,1.5,1.0
Neural-ECF,-0.9,1.5,0.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,50.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,4.0
Neural-ECF,-0.9,1.5,10.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,110.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,0.0
Neural-ECF,-0.9,1.5,7.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,40.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,2.0
Neural-ECF,-0.9,1.5,1.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,30.0
e-Divisive,-0.9,1.5,2.0
KCPA,-0.9,1.5,18.0
Neural-ECF,-0.9,1.5,8.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,90.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,1.0
Neural-ECF,-0.9,1.5,2.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,40.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,7.0
Neural-ECF,-0.9,1.5,9.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,90.0
e-Divisive,-0.9,1.5,1.0
KCPA,-0.9,1.5,1.0
Neural-ECF,-0.9,1.5,4.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,40.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,0.0
Neural-ECF,-0.9,1.5,8.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,80.0
e-Divisive,-0.9,1.5,4.0
KCPA,-0.9,1.5,2.0
Neural-ECF,-0.9,1.5,5.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,30.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,0.0
Neural-ECF,-0.9,1.5,1.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,230.0
e-Divisive,-0.9,1.5,8.0
KCPA,-0.9,1.5,6.0
Neural-ECF,-0.9,1.5,10.0
MIDAST[KS],-0.9,1.5,10.0
MIDAST[MMD],-0.9,1.5,130.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,4.0
Neural-ECF,-0.9,1.5,5.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,10.0
e-Divisive,-0.9,1.5,10.0
KCPA,-0.9,1.5,12.0
Neural-ECF,-0.9,1.5,3.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,10.0
e-Divisive,-0.9,1.5,1.0
KCPA,-0.9,1.5,4.0
Neural-ECF,-0.9,1.5,4.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,110.0
e-Divisive,-0.9,1.5,1.0
KCPA,-0.9,1.5,2.0
Neural-ECF,-0.9,1.5,8.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,110.0
e-Divisive,-0.9,1.5,6.0
KCPA,-0.9,1.5,10.0
Neural-ECF,-0.9,1.5,8.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,40.0
e-Divisive,-0.9,1.5,6.0
KCPA,-0.9,1.5,0.0
Neural-ECF,-0.9,1.5,0.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,10.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,10.0
Neural-ECF,-0.9,1.5,10.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,100.0
e-Divisive,-0.9,1.5,1.0
KCPA,-0.9,1.5,21.0
Neural-ECF,-0.9,1.5,3.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,160.0
e-Divisive,-0.9,1.5,2.0
KCPA,-0.9,1.5,0.0
Neural-ECF,-0.9,1.5,9.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,80.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,8.0
Neural-ECF,-0.9,1.5,5.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,110.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,3.0
Neural-ECF,-0.9,1.5,9.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,300.0
e-Divisive,-0.9,1.5,5.0
KCPA,-0.9,1.5,0.0
Neural-ECF,-0.9,1.5,12.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,120.0
e-Divisive,-0.9,1.5,1.0
KCPA,-0.9,1.5,2.0
Neural-ECF,-0.9,1.5,5.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,80.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,0.0
Neural-ECF,-0.9,1.5,1.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,140.0
e-Divisive,-0.9,1.5,2.0
KCPA,-0.9,1.5,0.0
Neural-ECF,-0.9,1.5,10.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,100.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,0.0
Neural-ECF,-0.9,1.5,7.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,100.0
e-Divisive,-0.9,1.5,7.0
KCPA,-0.9,1.5,25.0
Neural-ECF,-0.9,1.5,10.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,180.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,18.0
Neural-ECF,-0.9,1.5,6.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,40.0
e-Divisive,-0.9,1.5,3.0
KCPA,-0.9,1.5,1.0
Neural-ECF,-0.9,1.5,11.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,40.0
e-Divisive,-0.9,1.5,2.0
KCPA,-0.9,1.5,13.0
Neural-ECF,-0.9,1.5,6.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,80.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,3.0
Neural-ECF,-0.9,1.5,1.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,100.0
e-Divisive,-0.9,1.5,1.0
KCPA,-0.9,1.5,4.0
Neural-ECF,-0.9,1.5,1.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,40.0
e-Divisive,-0.9,1.5,2.0
KCPA,-0.9,1.5,0.0
Neural-ECF,-0.9,1.5,2.0
MIDAST[KS],-0.9,1.5,10.0
MIDAST[MMD],-0.9,1.5,20.0
e-Divisive,-0.9,1.5,1.0
KCPA,-0.9,1.5,27.0
Neural-ECF,-0.9,1.5,2.0
MIDAST[KS],-0.9,1.5,20.0
MIDAST[MMD],-0.9,1.5,20.0
e-Divisive,-0.9,1.5,3.0
KCPA,-0.9,1.5,19.0
Neural-ECF,-0.9,1.5,13.0
MIDAST[KS],-0.9,1.5,10.0
MIDAST[MMD],-0.9,1.5,60.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,3.0
Neural-ECF,-0.9,1.5,10.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,50.0
e-Divisive,-0.9,1.5,6.0
KCPA,-0.9,1.5,1.0
Neural-ECF,-0.9,1.5,1.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,80.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,0.0
Neural-ECF,-0.9,1.5,11.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,40.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,0.0
Neural-ECF,-0.9,1.5,3.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,30.0
e-Divisive,-0.9,1.5,449.0
KCPA,-0.9,1.5,3.0
Neural-ECF,-0.9,1.5,0.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,20.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,16.0
Neural-ECF,-0.9,1.5,8.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,140.0
e-Divisive,-0.9,1.5,3.0
KCPA,-0.9,1.5,6.0
Neural-ECF,-0.9,1.5,10.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,30.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,6.0
Neural-ECF,-0.9,1.5,0.0
MIDAST[KS],-0.9,1.5,0.0
MIDAST[MMD],-0.9,1.5,40.0
e-Divisive,-0.9,1.5,0.0
KCPA,-0.9,1.5,2.0
Neural-ECF,-0.6,1.5,0.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,20.0
e-Divisive,-0.6,1.5,0.0
KCPA,-0.6,1.5,18.0
Neural-ECF,-0.6,1.5,1.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,90.0
e-Divisive,-0.6,1.5,0.0
KCPA,-0.6,1.5,4.0
Neural-ECF,-0.6,1.5,1.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,20.0
e-Divisive,-0.6,1.5,6.0
KCPA,-0.6,1.5,14.0
Neural-ECF,-0.6,1.5,1.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,50.0
e-Divisive,-0.6,1.5,1.0
KCPA,-0.6,1.5,5.0
Neural-ECF,-0.6,1.5,7.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,30.0
e-Divisive,-0.6,1.5,4.0
KCPA,-0.6,1.5,2.0
Neural-ECF,-0.6,1.5,10.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,30.0
e-Divisive,-0.6,1.5,1.0
KCPA,-0.6,1.5,0.0
Neural-ECF,-0.6,1.5,1.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,210.0
e-Divisive,-0.6,1.5,4.0
KCPA,-0.6,1.5,9.0
Neural-ECF,-0.6,1.5,1.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,30.0
e-Divisive,-0.6,1.5,0.0
KCPA,-0.6,1.5,0.0
Neural-ECF,-0.6,1.5,3.0
MIDAST[KS],-0.6,1.5,20.0
MIDAST[MMD],-0.6,1.5,110.0
e-Divisive,-0.6,1.5,1.0
KCPA,-0.6,1.5,28.0
Neural-ECF,-0.6,1.5,7.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,50.0
e-Divisive,-0.6,1.5,1.0
KCPA,-0.6,1.5,3.0
Neural-ECF,-0.6,1.5,0.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,40.0
e-Divisive,-0.6,1.5,0.0
KCPA,-0.6,1.5,5.0
Neural-ECF,-0.6,1.5,10.0
MIDAST[KS],-0.6,1.5,10.0
MIDAST[MMD],-0.6,1.5,110.0
e-Divisive,-0.6,1.5,5.0
KCPA,-0.6,1.5,5.0
Neural-ECF,-0.6,1.5,10.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,290.0
e-Divisive,-0.6,1.5,0.0
KCPA,-0.6,1.5,2.0
Neural-ECF,-0.6,1.5,7.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,60.0
e-Divisive,-0.6,1.5,0.0
KCPA,-0.6,1.5,0.0
Neural-ECF,-0.6,1.5,0.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,30.0
e-Divisive,-0.6,1.5,0.0
KCPA,-0.6,1.5,0.0
Neural-ECF,-0.6,1.5,9.0
MIDAST[KS],-0.6,1.5,10.0
MIDAST[MMD],-0.6,1.5,110.0
e-Divisive,-0.6,1.5,6.0
KCPA,-0.6,1.5,20.0
Neural-ECF,-0.6,1.5,1.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,100.0
e-Divisive,-0.6,1.5,1.0
KCPA,-0.6,1.5,4.0
Neural-ECF,-0.6,1.5,12.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,80.0
e-Divisive,-0.6,1.5,1.0
KCPA,-0.6,1.5,2.0
Neural-ECF,-0.6,1.5,1.0
MIDAST[KS],-0.6,1.5,20.0
MIDAST[MMD],-0.6,1.5,20.0
e-Divisive,-0.6,1.5,0.0
KCPA,-0.6,1.5,2.0
Neural-ECF,-0.6,1.5,9.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,100.0
e-Divisive,-0.6,1.5,2.0
KCPA,-0.6,1.5,5.0
Neural-ECF,-0.6,1.5,11.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,20.0
e-Divisive,-0.6,1.5,1.0
KCPA,-0.6,1.5,1.0
Neural-ECF,-0.6,1.5,1.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,130.0
e-Divisive,-0.6,1.5,4.0
KCPA,-0.6,1.5,8.0
Neural-ECF,-0.6,1.5,1.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,40.0
e-Divisive,-0.6,1.5,0.0
KCPA,-0.6,1.5,1.0
Neural-ECF,-0.6,1.5,4.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,10.0
e-Divisive,-0.6,1.5,3.0
KCPA,-0.6,1.5,97.0
Neural-ECF,-0.6,1.5,9.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,30.0
e-Divisive,-0.6,1.5,1.0
KCPA,-0.6,1.5,1.0
Neural-ECF,-0.6,1.5,6.0
MIDAST[KS],-0.6,1.5,20.0
MIDAST[MMD],-0.6,1.5,30.0
e-Divisive,-0.6,1.5,3.0
KCPA,-0.6,1.5,4.0
Neural-ECF,-0.6,1.5,10.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,70.0
e-Divisive,-0.6,1.5,1.0
KCPA,-0.6,1.5,1.0
Neural-ECF,-0.6,1.5,2.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,30.0
e-Divisive,-0.6,1.5,28.0
KCPA,-0.6,1.5,15.0
Neural-ECF,-0.6,1.5,1.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,30.0
e-Divisive,-0.6,1.5,2.0
KCPA,-0.6,1.5,23.0
Neural-ECF,-0.6,1.5,8.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,50.0
e-Divisive,-0.6,1.5,0.0
KCPA,-0.6,1.5,7.0
Neural-ECF,-0.6,1.5,10.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,20.0
e-Divisive,-0.6,1.5,2.0
KCPA,-0.6,1.5,13.0
Neural-ECF,-0.6,1.5,1.0
MIDAST[KS],-0.6,1.5,20.0
MIDAST[MMD],-0.6,1.5,110.0
e-Divisive,-0.6,1.5,6.0
KCPA,-0.6,1.5,12.0
Neural-ECF,-0.6,1.5,7.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,10.0
e-Divisive,-0.6,1.5,1.0
KCPA,-0.6,1.5,0.0
Neural-ECF,-0.6,1.5,3.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,130.0
e-Divisive,-0.6,1.5,5.0
KCPA,-0.6,1.5,5.0
Neural-ECF,-0.6,1.5,9.0
